Artist and Title,Streams,Daily
Oasis - Don't Look Back In Anger,"74,20,47,219","4,34,046"
Lana Del Rey - Video Games,"74,09,02,980","7,23,024"
The Weeknd - Reminder,"74,06,80,127","12,08,197"
Piso 21 - DÃ©jala Que Vuelva,"74,04,14,375","4,12,140"
Bad Bunny - Si EstuviÃ©semos Juntos,"74,04,03,240","6,12,395"
Ozuna - Hey Mor,"73,97,81,331","12,92,993"
The Weeknd - After Hours,"73,96,02,889","8,78,558"
Pixies - Where Is My Mind?,"73,94,35,594","5,49,810"
Justin Bieber - Holy,"73,92,77,990","2,02,389"
Jack Harlow - WHATS POPPIN,"73,84,72,431","3,62,115"
Kanye West - Bound 2,"73,84,59,904","8,07,162"
Billie Eilish - wish you were gay,"73,70,34,321","1,90,318"
Conan Gray - Maniac,"73,67,95,950","3,77,813"
The Script - Breakeven,"73,64,08,667","3,51,073"
J Balvin - QuÃ© MÃ¡s Pues?,"73,62,85,910","3,36,474"
Nelly - Dilemma,"73,61,35,358","4,10,528"
Justin Timberlake - SexyBack,"73,59,60,504","4,12,790"
Deorro - Five More Hours,"73,58,91,183","2,44,527"
One Direction - Perfect,"73,55,07,976","3,89,310"
Bon Jovi - It's My Life,"73,52,51,902","5,02,602"
Fleetwood Mac - Everywhere,"73,44,00,386","6,74,340"
Coldplay - Clocks,"73,43,57,358","5,75,955"
Martin Jensen - Solo Dance,"73,42,31,259","1,60,633"
Shakira - Waka Waka (This Time for Africa) [The Official 2010 FIFA World Cup (TM) Song],"73,40,52,075","3,94,443"
Melanie Martinez - Play Date,"73,40,35,315","2,96,704"
Toploader - Dancing in the Moonlight,"73,39,40,384","4,97,583"
Bad Bunny - Si Veo a Tu MamÃ¡,"73,37,03,152","3,22,360"
Franz Ferdinand - Take Me Out,"73,31,55,631","4,32,465"
Fetty Wap - 679,"73,21,75,388","2,01,989"
Bob Marley & The Wailers - Could You Be Loved,"73,20,53,264","5,22,602"
Blur - Song 2,"73,18,89,979","5,74,148"
Future - Low Life,"73,16,22,181","2,99,159"
Chord Overstreet - Hold On,"73,10,23,290","4,08,100"
Red Hot Chili Peppers - Scar Tissue,"73,09,78,722","5,57,086"
Taylor Swift - ME!,"73,08,59,004","3,20,741"
Bad Bunny - Diles,"73,03,95,843","4,58,037"
Sam Smith - Like I Can,"72,96,96,819","4,01,733"
THE SCOTTS - THE SCOTTS,"72,94,37,617","2,17,362"
Tracy Chapman - Fast Car,"72,90,25,485","4,51,443"
Cage The Elephant - Cigarette Daydreams,"72,89,65,297","5,33,061"
Rick Astley - Never Gonna Give You Up,"72,89,27,194","4,36,517"
Polo G - Martin & Gina,"72,88,07,407","5,60,568"
Kings of Leon - Use Somebody,"72,79,64,295","3,59,852"
Maroon 5 - One More Night,"72,78,89,470","4,96,428"
Billie Eilish - Therefore I Am,"72,76,04,145","3,11,372"
ROSALÃA - Con Altura,"72,75,34,303","1,91,630"
A$AP Rocky - F**kin' Problems,"72,72,64,769","2,85,767"
Bruno Mars - Finesse,"72,69,97,044","3,84,927"
Metallica - Master of Puppets (Remastered),"72,68,41,107","5,24,521"
Jack Johnson - Better Together,"72,50,31,205","3,30,881"
BANNERS - Someone To You,"72,50,00,845","4,06,321"
CJ - Whoopty,"72,45,86,947","2,16,619"
Train - Drops of Jupiter (Tell Me),"72,40,45,895","3,68,467"
AminÃ© - Caroline,"72,40,22,695","1,62,862"
Migos - Walk It Talk It,"72,20,64,749","2,20,768"
Icona Pop - I Love It,"72,18,48,765","4,17,852"
Kid Cudi - Day 'N' Nite,"72,16,49,826","4,58,661"
Childish Gambino - 3005,"71,96,70,649","3,84,082"
Destiny's Child - Say My Name,"71,91,86,509","3,59,494"
Taylor Swift - august,"71,90,58,231","21,38,508"
Becky G - Shower,"71,84,91,415","3,08,207"
Billy Joel - Uptown Girl,"71,84,06,648","5,21,047"
Neon Trees - Everybody Talks,"71,79,80,680","4,02,768"
Big Sean - I Don't Fuck With You,"71,79,73,643","2,47,680"
Gesaffelstein - Lost in the Fire,"71,76,08,524","6,58,885"
Arctic Monkeys - Fluorescent Adolescent,"71,72,09,467","5,00,811"
Ed Sheeran - South of the Border,"71,58,67,967","1,93,175"
Jack Harlow - First Class,"71,56,95,035","4,49,877"
Miley Cyrus - Prisoner,"71,54,51,077","3,67,756"
Taylor Swift - I Knew You Were Trouble.,"71,51,72,493","4,68,309"
P!nk - What About Us,"71,51,08,962","2,59,865"
Avicii - SOS,"71,50,49,805","1,86,282"
SZA - Love Galore,"71,49,98,100","3,28,660"
LP - Lost on You,"71,46,95,450","4,02,313"
Boston - More Than a Feeling,"71,40,15,597","4,29,628"
Ed Sheeran - Don't,"71,28,71,272","1,58,871"
Charlie Puth - Marvin Gaye,"71,27,02,040","2,46,509"
Juice WRLD - Armed And Dangerous,"71,22,80,759","2,43,209"
Sebastian Yatra - Pareja Del AÃ±o,"71,17,72,719","4,24,268"
Mau y Ricky - Desconocidos,"71,02,06,073","2,37,374"
Ariana Grande - boyfriend,"70,97,04,849","3,99,076"
Cris Mj - Una Noche en MedellÃ­n,"70,94,94,156","4,32,088"
The Offspring - The Kids Aren't Alright,"70,90,88,079","6,16,437"
The 1975 - Somebody Else,"70,89,68,175","2,99,867"
J Balvin - QUE PRETENDES,"70,86,77,414","3,49,171"
Nicki Minaj - Super Bass,"70,84,93,236","5,62,639"
KAROL G - TQG,"70,84,76,587","16,79,327"
Playboi Carti - Magnolia,"70,83,92,121","4,55,747"
Lil Nas X - Panini,"70,83,23,471","1,49,928"
d4vd - Here With Me,"70,79,72,438","13,91,912"
Little Mix - Shout Out to My Ex,"70,79,50,642","1,76,055"
BENEE - Supalonely,"70,74,60,746","1,25,130"
Queen - Killer Queen,"70,69,36,283","4,50,632"
Anuel AA - Secreto,"70,67,28,924","2,86,800"
Flo Rida - Whistle,"70,64,72,587","3,65,958"
Alessia Cara - How Far I'll Go,"70,61,34,831","1,43,436"
Khalid - Saturday Nights,"70,60,11,955","1,71,154"
Daddy Yankee - Gasolina,"70,48,31,164","9,01,710"
Ne-Yo - So Sick,"70,47,88,359","5,46,103"
Anuel AA - Ella Quiere Beber,"70,47,10,299","3,37,616"
Bad Bunny - Neverita,"70,42,32,194","6,75,890"
One Direction - Steal My Girl,"70,39,62,461","4,27,413"
BTS - FAKE LOVE,"70,36,68,896","2,55,630"
The Wanted - Glad You Came,"70,27,72,097","4,29,148"
Sia - Snowman,"70,25,63,909","2,83,396"
Lorde - Team,"70,23,81,618","4,54,135"
Avril Lavigne - Complicated,"70,23,20,200","4,20,449"
Lukas Graham - Love Someone,"70,15,14,680","1,94,217"
Bad Bunny - A Tu Merced,"70,12,27,686","3,15,524"
Pop Smoke - Mood Swings,"70,05,82,561","3,02,718"
"Fall Out Boy - Sugar, We're Goin Down","69,99,40,203","3,46,611"
MGMT - Kids,"69,98,25,208","3,05,418"
Flume - Never Be Like You,"69,92,78,107","2,23,511"
Katy Perry - Hot N Cold,"69,91,93,681","6,14,821"
Doja Cat - You Right,"69,91,88,331","6,23,755"
Linkin Park - What I've Done,"69,91,77,934","5,13,386"
B.o.B - Airplanes,"69,88,07,354","3,71,027"
Sean Paul - Temperature,"69,80,47,885","6,08,452"
Eminem - Superman,"69,80,34,619","9,11,657"
Eminem - Venom,"69,80,21,967","3,23,044"
Blackstreet - No Diggity,"69,62,58,717","3,98,486"
ACRAZE - Do It To It,"69,57,10,240","4,68,539"
Bazzi - Beautiful,"69,56,77,722","1,53,890"
Demi Lovato - Cool for the Summer,"69,54,37,930","3,77,188"
Gorillaz - Clint Eastwood,"69,54,24,596","3,58,178"
Dr. Dre - Forgot About Dre,"69,52,35,544","4,47,949"
Jon Bellion - All Time Low,"69,46,70,975","1,46,723"
Bad Bunny - Yo Perreo Sola,"69,45,73,420","2,05,177"
"Olivia Rodrigo - jealousy, jealousy","69,40,27,856","7,51,020"
Nicky Youre - Sunroof,"69,35,41,274","8,46,726"
Foreigner - I Want to Know What Love Is,"69,35,12,348","4,82,927"
Alok - Hear Me Now,"69,28,39,112","3,04,744"
Ellie Goulding - Burn,"69,27,96,522","2,97,206"
X Ambassadors - Renegades,"69,22,35,093","3,03,654"
Aventura - VolvÃ­,"69,20,14,496","3,77,761"
Disturbed - The Sound of Silence,"69,17,97,226","2,68,547"
OneRepublic - Apologize,"69,16,59,004","3,23,792"
Lil Peep - Save That Shit,"69,14,03,375","2,69,670"
Jack Harlow - WHATS POPPIN,"69,07,57,010","2,18,360"
CNCO - ReggaetÃ³n Lento (Bailemos),"69,02,60,369","1,79,279"
Lewis Capaldi - Hold Me While You Wait,"68,96,27,023","3,42,777"
Labrinth - Jealous,"68,93,93,098","2,01,446"
Young Thug - The London,"68,90,26,375","1,65,410"
Justin Bieber - Hold On,"68,87,65,431","2,61,813"
Kid Cudi - Pursuit Of Happiness (Nightmare),"68,81,15,045","3,89,758"
Felix Jaehn - Ain't Nobody (Loves Me Better),"68,76,21,645","2,12,794"
Big Sean - Bounce Back,"68,73,56,405","99,013"
Selena Gomez & The Scene - Love You Like A Love Song,"68,72,76,233","6,90,183"
Travis Scott - Goosebumps,"68,68,65,834","3,61,547"
Paramore - Misery Business,"68,57,19,093","4,26,893"
A$AP Ferg - Plain Jane,"68,50,86,595","2,11,944"
Ben E. King - Stand by Me,"68,50,15,674","6,48,270"
Two Door Cinema Club - What You Know,"68,48,45,012","4,45,816"
Men At Work - Down Under,"68,47,64,572","4,92,142"
Yng Lvcas - La Bebe,"68,37,38,052","24,53,561"
Wallows - Are You Bored Yet?,"68,36,69,285","4,76,841"
The Notorious B.I.G. - Juicy,"68,29,07,631","2,75,473"
Luke Combs - Beautiful Crazy,"68,28,59,574","5,19,708"
Alex & Sierra - Little Do You Know,"68,24,48,502","1,93,635"
Mr.Kitty - After Dark,"68,24,12,428","7,28,592"
Creedence Clearwater Revival - Bad Moon Rising,"68,23,46,085","5,85,613"
Lil Mosey - Noticed,"68,14,81,643","1,64,414"
TiÃ«sto - The Motto,"68,11,97,496","5,40,734"
Katy Perry - California Gurls,"68,09,34,246","5,05,397"
Lil Tjay - Calling My Phone,"67,97,44,579","3,84,668"
blink-182 - I Miss You,"67,96,73,359","3,99,395"
Marshmello - Leave Before You Love Me,"67,96,15,447","6,31,262"
USHER - DJ Got Us Fallin' in Love,"67,88,89,366","4,79,949"
Vanessa Carlton - A Thousand Miles,"67,76,16,231","3,73,992"
Drake - Wants and Needs,"67,74,59,684","5,36,201"
Drake - Jimmy Cooks,"67,73,72,979","13,82,282"
Flo Rida - GDFR,"67,63,79,564","1,22,521"
Paulo Londra - Tal Vez,"67,61,21,618","2,93,517"
Iggy Azalea - Fancy,"67,56,52,200","1,82,170"
Britney Spears - ...Baby One More Time,"67,51,86,900","4,67,094"
James Arthur - Train Wreck,"67,51,03,851","4,59,324"
Bruno Mars - Versace on the Floor,"67,44,73,139","3,32,510"
Stephen Sanchez - Until I Found You,"67,38,70,063","14,28,327"
Hippie Sabotage - Devil Eyes,"67,36,35,782","3,66,609"
Travis Scott - STARGAZING,"67,36,10,537","2,34,191"
Mustard - Pure Water,"67,30,45,381","2,31,566"
Idina Menzel - Let It Go,"67,28,45,212","2,79,142"
Morgan Wallen - Whiskey Glasses,"67,25,47,771","5,60,807"
Dalex - Pa MÃ­,"67,24,42,363","1,79,663"
The Mamas & The Papas - California Dreamin',"67,23,06,957","6,07,285"
The Weeknd - Stargirl Interlude,"67,20,92,213","13,94,267"
Piso 21 - Te Vi,"67,14,62,872","3,25,285"
My Chemical Romance - Welcome to the Black Parade,"67,14,29,348","3,08,420"
Ellie Goulding - Hate Me,"67,12,84,486","2,60,850"
Rihanna - Take A Bow,"66,97,43,545","3,01,668"
Frank Ocean - Chanel,"66,96,06,977","2,70,559"
Elton John - Tiny Dancer,"66,95,65,743","3,00,699"
Foo Fighters - The Pretender,"66,89,61,177","4,03,311"
Bill Withers - Ain't No Sunshine,"66,77,81,107","7,68,159"
James Arthur - Impossible,"66,74,79,810","3,68,774"
Reik - Me Niego,"66,71,13,781","1,57,074"
A Boogie Wit da Hoodie - Look Back at It,"66,64,07,121","3,44,221"
Taylor Swift - Enchanted,"66,53,98,250","7,37,971"
Andy Williams - It's the Most Wonderful Time of the Year,"66,53,26,384","48,727"
blackbear - idfc,"66,53,20,803","1,44,611"
Selena Gomez - Good For You,"66,47,28,504","1,53,212"
Alan Walker - Alone,"66,45,46,649","2,59,622"
Coldplay - Sparks,"66,43,72,610","8,91,221"
Maluma - 11 PM,"66,42,76,306","2,62,330"
Kendrick Lamar - m.A.A.d city,"66,41,19,808","2,70,056"
The Weeknd - Party Monster,"66,35,03,318","5,99,069"
Sech - Otro Trago,"66,34,55,761","1,37,388"
Queen - Crazy Little Thing Called Love,"66,29,99,315","6,47,745"
will.i.am - Scream & Shout,"66,27,62,936","3,42,666"
Cheat Codes - Sex,"66,26,85,567","60,608"
The Killers - Somebody Told Me,"66,24,59,208","4,38,551"
Sean Kingston - Beautiful Girls,"66,16,35,082","4,11,990"
Ed Sheeran - Supermarket Flowers,"66,15,82,927","1,88,898"
Britney Spears - Oops!...I Did It Again,"66,08,95,213","3,95,503"
Enrique Iglesias - SUBEME LA RADIO,"66,08,77,587","1,89,511"
DJ Khaled - POPSTAR,"66,08,24,216","2,67,857"
MEDUZA - Paradise,"66,08,12,229","2,77,849"
Eminem - Lucky You,"65,99,54,088","1,83,078"
Counting Crows - Mr. Jones,"65,93,89,767","4,12,372"
Kanye West - I Love It (& Lil Pump),"65,87,82,864","1,78,258"
Disturbed - Down with the Sickness,"65,87,13,130","3,35,306"
Cheat Codes - No Promises,"65,80,48,311","81,438"
James Bay - Hold Back The River,"65,79,77,631","2,41,739"
Jason Derulo - Take You Dancing,"65,77,93,032","2,11,382"
Becky G - Mayores,"65,70,31,267","2,19,173"
2Pac - Ambitionz Az A Ridah,"65,69,56,568","3,52,909"
AJR - Weak,"65,62,24,369","1,22,918"
Young Thug - Pick Up The Phone,"65,61,44,151","2,06,609"
Luke Combs - When It Rains It Pours,"65,52,88,625","5,94,032"
Demi Lovato - Heart Attack,"65,52,00,833","3,99,153"
Green Day - Boulevard of Broken Dreams,"65,51,87,988","5,72,543"
Feid - Feliz CumpleaÃ±os Ferxxo,"65,50,29,925","11,14,796"
Katrina & The Waves - Walking On Sunshine,"65,49,21,606","4,09,418"
Lil Tjay - F.N,"65,46,92,333","2,83,021"
Sub Urban - Cradles,"65,45,01,332","2,76,031"
Katy Perry - Never Really Over,"65,33,01,188","1,52,419"
Swedish House Mafia - Moth To A Flame,"65,32,87,045","9,06,182"
Coldplay - Magic,"65,29,48,090","1,60,396"
Taylor Swift - willow,"65,27,68,587","6,10,043"
Fort Minor - Remember the Name,"65,27,48,872","2,51,104"
Miley Cyrus - Angels Like You,"65,26,70,417","15,29,492"
StaySolidRocky - Party Girl,"65,24,61,563","2,11,604"
Joel Adams - Please Don't Go,"65,16,49,713","1,26,326"
M.I.A. - Paper Planes,"65,11,66,679","4,07,022"
Post Malone - I Like You (A Happier Song),"65,08,75,846","9,47,761"
The Proclaimers - I'm Gonna Be (500 Miles),"65,04,96,133","4,43,100"
Bad Bunny - La DifÃ­cil,"65,00,83,081","2,75,118"
Sleepy Hallow - 2055,"65,00,38,291","5,63,819"
Russ - Losin Control,"64,96,96,388","2,17,388"
Sublime - Santeria,"64,96,77,410","3,94,481"
Drake - Chicago Freestyle,"64,95,05,604","4,69,629"
Avicii - Lonely Together,"64,94,62,429","1,58,548"
Harry Styles - Lights Up,"64,77,25,517","1,42,116"
Myke Towers - Bandido,"64,74,08,350","2,11,934"
Soft Cell - Tainted Love,"64,70,33,417","5,77,831"
Tainy - Adicto,"64,69,18,622","2,48,890"
PinkPantheress - Boy's a Liar Pt. 2,"64,67,92,760","14,01,661"
Selena Gomez - Hands To Myself,"64,66,51,479","1,77,343"
Cyndi Lauper - Time After Time,"64,64,61,962","5,13,171"
BTS - Life Goes On,"64,61,86,826","2,65,940"
Yandel - Yandel 150,"64,60,45,899","11,76,869"
DMX - X Gon' Give It To Ya,"64,57,50,136","2,68,198"
Rixton - Me And My Broken Heart,"64,55,09,388","3,36,883"
Joji - YEAH RIGHT,"64,50,11,817","2,90,447"
Estelle - American Boy,"64,48,91,449","3,42,911"
Camila Cabello - My Oh My,"64,44,20,266","2,09,075"
Elton John - Don't Go Breaking My Heart,"64,43,02,499","4,14,906"
Machine Gun Kelly - Bad Things,"64,41,74,362","1,45,908"
Paramore - Still into You,"64,41,72,121","4,79,036"
Maroon 5 - Beautiful Mistakes,"64,41,19,489","3,55,548"
Alesso - Heroes (we could be),"64,39,51,390","2,00,778"
Sia - The Greatest,"64,33,42,401","1,30,769"
Maroon 5 - Cold,"64,32,32,962","2,26,874"
Jason Mraz - Lucky,"64,31,97,990","3,00,839"
Ed Sheeran - Dive,"64,29,73,400","1,43,592"
MGMT - Electric Feel,"64,17,10,178","2,99,645"
Travis Scott - Antidote,"64,10,82,271","1,85,546"
50 Cent - P.I.M.P.,"64,10,15,016","4,66,620"
Julia Michaels - What A Time,"64,09,90,213","3,29,653"
Weezer - Island In The Sun,"64,06,57,746","4,22,074"
Bob Marley & The Wailers - Is This Love,"64,02,31,653","3,68,105"
The Outfield - Your Love,"64,01,48,022","6,88,170"
The Beatles - Come Together,"64,00,49,697","3,13,714"
BeyoncÃ© - CUFF IT,"63,94,28,066","8,25,208"
Chris Brown - Go Crazy,"63,92,91,907","2,36,966"
John Mayer - New Light,"63,92,49,098","2,05,811"
Justin Bieber - Friends,"63,91,20,263","1,12,494"
Khalid - 8TEEN,"63,89,76,463","2,18,426"
Don McLean - American Pie,"63,89,29,968","3,76,906"
Olivia Rodrigo - All I Want,"63,88,17,928","6,01,514"
Lil Dicky - Freaky Friday,"63,88,14,527","1,07,247"
Jimi Hendrix - All Along the Watchtower,"63,83,18,936","2,75,222"
Green Day - Wake Me up When September Ends,"63,82,28,473","4,84,572"
Dalex - Hola,"63,80,13,621","3,16,875"
BLACKPINK - DDU-DU DDU-DU,"63,78,68,480","2,75,716"
Led Zeppelin - Immigrant Song,"63,78,20,040","4,24,931"
Carlos Vives - La Bicicleta,"63,78,12,352","2,28,219"
Imagine Dragons - It's Time,"63,69,47,519","2,72,928"
Bonnie Tyler - Total Eclipse of the Heart,"63,69,14,535","3,56,811"
The Neighbourhood - Softcore,"63,64,19,776","8,14,673"
Calvin Harris - Giant,"63,62,22,371","1,51,557"
Manuel Turizo - Una Lady Como TÃº,"63,61,61,895","3,32,676"
JACKBOYS - OUT WEST,"63,61,37,525","2,78,638"
Lil Pump - Gucci Gang,"63,58,54,792","51,781"
Three Days Grace - I Hate Everything About You,"63,56,98,317","4,16,434"
Kodak Black - Roll in Peace,"63,51,51,766","1,35,667"
Haddaway - What Is Love,"63,49,07,297","5,00,674"
Timbaland - The Way I Are,"63,42,30,804","6,67,613"
Common - The People,"63,42,30,804","7,75,569"
The Vamps - All Night,"63,41,95,221","1,09,211"
Mumford & Sons - Little Lion Man,"63,36,76,403","3,34,838"
Bebe Rexha - I'm a Mess,"63,36,00,041","1,50,263"
Bad Bunny - Party,"63,35,14,124","3,97,211"
TOTO - Hold the Line,"63,32,65,973","5,72,218"
G-Eazy - No Limit,"63,28,13,953","1,14,299"
Coldplay - Hymn for the Weekend,"63,26,25,880","89,626"
Jung Kook - Seven,"63,24,95,721","92,15,515"
Maluma - Borro Cassette,"63,24,49,700","3,73,807"
ABBA - Gimme! Gimme! Gimme! (A Man After Midnight),"63,17,88,502","5,18,299"
Drake - Fair Trade,"63,17,46,352","8,55,970"
James Arthur - Can I Be Him,"63,17,27,696","3,61,129"
Bad Bunny - Tarot,"63,16,83,307","5,12,393"
Justin Bieber - Mistletoe,"63,16,50,133","71,803"
Romeo Santos - Propuesta Indecente,"63,09,52,088","4,02,456"
Justin Bieber - Anyone,"63,06,47,261","2,39,551"
Imagine Dragons - Warriors,"63,01,95,965","2,91,426"
fun. - Some Nights,"63,01,49,014","2,70,325"
"SofÃ­a Reyes - 1, 2, 3","63,01,31,242","1,51,079"
Shakira - Te Felicito,"62,95,35,277","4,67,815"
Jason Derulo - Talk Dirty,"62,95,27,178","3,83,717"
ATB - Your Love (9PM),"62,95,19,353","3,79,296"
Marshmello - Here With Me,"62,93,26,229","1,66,750"
Daddy Yankee - Dura,"62,90,85,308","1,21,180"
Pink Floyd - Wish You Were Here,"62,89,99,289","3,48,298"
Sam Smith - Lay Me Down,"62,87,52,231","1,25,975"
Queen - We Are The Champions,"62,86,40,718","3,02,769"
Nio Garcia - La Jeepeta,"62,86,26,575","1,97,224"
dhruv - double take,"62,85,91,678","7,72,780"
Juice WRLD - Legends,"62,82,68,431","1,87,119"
Charlie Puth - How Long,"62,82,24,029","2,14,608"
Don Toliver - After Party,"62,81,28,898","2,57,293"
FRENSHIP - Capsize,"62,74,33,917","1,00,418"
Kiiara - Gold,"62,73,61,556","78,304"
Machine Gun Kelly - my ex's best friend,"62,72,69,312","2,16,143"
Clean Bandit - I Miss You,"62,61,53,273","1,05,789"
Mora - Volando,"62,61,35,812","3,44,806"
Mumford & Sons - I Will Wait,"62,58,90,470","2,56,615"
Neil Diamond - Sweet Caroline,"62,57,47,391","3,47,340"
Bad Bunny - Ignorantes,"62,57,07,889","2,06,243"
Bruno Mars - It Will Rain,"62,54,33,569","5,96,979"
Bee Gees - How Deep Is Your Love,"62,52,21,235","4,07,353"
Lil Tjay - F.N,"62,47,09,072",
Taylor Swift - All Too Well (10 Minute Version) (Taylor's Version) (From The Vault),"62,42,58,333","8,52,002"
Grupo Frontera - un x100to,"62,42,02,819","19,90,680"
The Rolling Stones - (I Can't Get No) Satisfaction,"62,40,99,883","3,38,280"
Rich The Kid - Plug Walk,"62,35,50,355","1,25,577"
Scorpions - Wind Of Change,"62,34,08,701","4,16,023"
Rae Sremmurd - This Could Be Us,"62,32,08,562","3,39,974"
Anuel AA - Sola (Remix),"62,31,39,450","2,84,772"
Jason Derulo - Trumpets,"62,27,07,735","1,63,454"
"Kendrick Lamar - Bitch, Donât Kill My Vibe","62,19,98,350","3,51,927"
Frank Ocean - Ivy,"62,19,41,889","4,41,152"
Darius Rucker - Wagon Wheel,"62,18,31,368","4,36,056"
James Arthur - Rewrite The Stars,"62,16,05,831","6,58,644"
DaBaby - Suge,"62,12,83,922","1,19,328"
John Newman - Love Me Again,"62,08,66,256","3,82,732"
Rihanna - Pon de Replay,"62,03,21,059","4,48,857"
USHER - My Boo,"61,99,56,758","3,96,752"
Drake - Rich Flex,"61,99,31,221","10,07,646"
Kelly Clarkson - Because of You,"61,94,84,715","2,56,255"
BTS - Permission to Dance,"61,93,75,064","2,16,575"
Red Hot Chili Peppers - Dani California,"61,82,31,535","3,27,575"
Sixpence None The Richer - Kiss Me,"61,77,94,600","5,05,569"
Drake - Knife Talk,"61,77,32,214","5,44,909"
LMFAO - Party Rock Anthem,"61,76,42,747","3,64,968"
David Guetta - Flames,"61,73,26,722","97,072"
TINI - MiÃ©nteme,"61,68,82,765","4,72,409"
Guns N' Roses - Knockin' On Heaven's Door,"61,67,76,616","3,89,307"
Slipknot - Duality,"61,67,07,434","4,41,388"
Enrique Iglesias - DUELE EL CORAZON,"61,65,48,457","1,52,620"
Paloma Faith - Only Love Can Hurt Like This,"61,57,41,306","5,82,317"
Bad Bunny - TE MUDASTE,"61,52,11,371","3,94,120"
Marshmello - Be Kind,"61,47,71,731","2,06,757"
The Cure - Friday I'm In Love,"61,47,12,154","4,74,079"
Jhayco - CÃMO SE SIENTE,"61,43,34,221","3,79,891"
Migos - Stir Fry,"61,34,68,694","2,68,781"
Don Omar - Dile,"61,34,33,724","7,44,607"
Flipp Dinero - Leave Me Alone,"61,32,99,354","1,45,451"
Rauw Alejandro - Fantasias,"61,19,17,844","2,14,085"
Otis Redding - (Sittin' On) the Dock of the Bay,"61,15,20,091","4,99,994"
Fall Out Boy - Thnks fr th Mmrs,"61,13,05,702","3,93,766"
Lil Uzi Vert - Money Longer,"61,08,93,703","2,61,504"
Chris Jedi - Ahora Dice,"61,06,60,379","1,87,160"
Phil Collins - In The Air Tonight,"61,02,91,820","3,28,396"
Seafret - Atlantis,"60,99,31,531","7,86,871"
Frank Ocean - Nights,"60,97,93,065","3,39,768"
Whitney Houston - I Will Always Love You,"60,95,28,230","3,15,876"
Martin Garrix - Summer Days,"60,92,89,756","1,78,784"
James TW - When You Love Someone,"60,91,33,870","1,49,780"
Hailee Steinfeld - Love Myself,"60,90,08,363","1,46,136"
Zac Brown Band - Chicken Fried,"60,88,96,467","3,91,835"
Ashe - Moral of the Story,"60,88,22,519","4,84,663"
Mac Miller - Self Care,"60,88,05,910","3,28,778"
blink-182 - What's My Age Again?,"60,84,84,501","4,31,374"
Los Legendarios - Fiel,"60,84,52,150","1,59,870"
Lana Del Rey - Summertime Sadness (Lana Del Rey Vs. Cedric Gervais),"60,82,87,717","2,81,626"
Kesha - Die Young,"60,78,45,677","3,39,580"
Tom Petty - Free Fallin',"60,76,36,908","4,08,862"
X Ambassadors - Unsteady,"60,70,77,854","1,84,322"
Rise Against - Savior,"60,70,71,851","3,46,580"
Kodak Black - Tunnel Vision,"60,64,48,779","1,49,556"
No Doubt - Don't Speak,"60,63,96,680","3,76,690"
Kansas - Dust in the Wind,"60,62,98,454","3,84,567"
Rita Ora - Your Song,"60,60,10,962","1,11,849"
Lana Del Rey - Young And Beautiful [Lana Del Rey vs. Cedric Gervais],"60,56,71,883","2,61,362"
Rex Orange County - Best Friend,"60,55,74,732","2,11,938"
Michael Jackson - Smooth Criminal,"60,53,56,292","3,81,112"
Panic! At The Disco - House of Memories,"60,51,52,376","4,60,694"
U2 - I Still Haven't Found What I'm Looking For,"60,49,24,693","3,58,972"
FIFTY FIFTY - Cupid,"60,43,10,072","18,72,839"
Chief Keef - Love Sosa,"60,41,79,895","5,33,456"
Natalie Imbruglia - Torn,"60,40,12,017","4,30,794"
Playboi Carti - Shoota,"60,39,19,137","3,14,753"
Cage The Elephant - Ain't No Rest For The Wicked,"60,35,09,291","3,11,512"
Ellie Goulding - Close To Me,"60,30,62,705","89,916"
Katy Perry - Teenage Dream,"60,30,49,876","4,64,505"
Clairo - Sofia,"60,29,14,219","4,04,322"
The Weeknd - Die For You,"60,27,39,963","14,12,007"
Luke Combs - Hurricane,"60,26,96,355","3,34,743"
5 Seconds of Summer - She Looks So Perfect,"60,25,26,096","3,62,318"
Jay Sean - Down,"60,20,81,713","3,89,854"
Anuel AA - Amanece,"60,18,00,098","6,45,984"
Little Mix - Secret Love Song,"60,17,88,172","2,30,450"
Taylor Swift - We Are Never Ever Getting Back Together,"60,14,74,571","3,15,855"
Ariana Grande - breathin,"60,11,84,878","1,17,933"
Rae Sremmurd - Swang,"60,10,97,269","2,20,985"
Pinkfong - Baby Shark,"60,09,37,353","4,38,551"
Jeremih - oui,"60,07,71,653","2,64,511"
Far East Movement - Like A G6,"60,07,71,608","3,47,698"
2Pac - California Love,"60,07,66,900","4,56,212"
Sam Smith - Fire On Fire,"60,05,54,620","3,05,738"
Anitta - Downtown,"60,03,68,987","1,77,072"
Kelly Clarkson - Since U Been Gone,"60,02,40,741","3,55,264"
BoyWithUke - Toxic,"60,01,83,391","3,46,134"
Sebastian Yatra - Traicionera,"59,91,34,605","2,26,045"
Nirvana - Heart-Shaped Box,"59,86,68,110","3,81,158"
Selena Gomez - Same Old Love,"59,85,92,020","2,05,971"
Future - WAIT FOR U,"59,69,86,852","8,73,582"
James Arthur - Naked,"59,67,53,982","1,77,506"
Troye Sivan - YOUTH,"59,66,53,891","2,12,399"
The Chainsmokers - Takeaway,"59,65,78,051","1,54,987"
Taylor Swift - exile,"59,65,57,762","6,99,025"
AC/DC - T.N.T.,"59,64,55,756","3,26,734"
